timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013465314645,39,-7,-24,-20,-62,-124,26,45
1013465316120,48,26,15,5,-22,31,-5,38
1013465316120,-7,31,-11,-8,3,-23,-54,-39
1013465328957,-17,-14,6,20,23,68,-37,-49
1013465328957,12,44,6,-7,8,-32,-42,-16
1013465335817,-34,-33,0,-18,-81,-128,91,20
1013465335817,-19,-11,10,27,76,118,39,25
1013465351980,-58,-59,-11,-12,-29,-30,5,-43
1013465351980,55,47,18,19,60,104,-44,4
1013465353596,42,8,-5,-6,-14,-6,38,84
1013465353596,-57,-14,-10,-3,-8,68,-25,-30
1013465374692,69,-3,-2,-10,-33,-62,-43,-43
1013465374692,-41,29,3,-6,-27,-13,-37,-16
1013465376139,-70,-51,-12,-8,24,34,12,-33
1013465376139,35,-27,13,16,56,37,41,92
1013465389040,-19,60,-3,11,-24,-47,-15,108
1013465389040,76,42,-12,-5,-19,-34,11,-40
1013465395721,-52,-43,3,-2,-2,50,37,-25
1013465395721,-6,-54,19,12,27,-2,-1,27
1013465412704,33,60,-10,-18,-32,-11,24,-86
1013465412704,-68,-46,-8,5,8,-27,29,-3
1013465414070,73,30,6,27,104,79,74,22
1013465414070,-26,19,4,-17,-70,14,-23,-83
1013465434636,77,-12,-6,1,8,-65,42,20
1013465434636,12,33,13,12,36,99,0,27
1013465436138,-72,-42,-6,-24,-54,-17,64,-5
1013465436138,102,16,11,3,1,34,-34,-39
1013465448888,-104,14,-2,-9,-10,20,36,79
1013465448888,-63,-19,-14,-1,3,-21,-78,-109
1013465455632,101,25,15,11,30,35,-66,82
1013465455632,-28,8,-17,-13,-4,-53,-53,-55
1013465472143,31,-5,-12,8,76,88,10,-34
1013465472143,-4,16,20,2,-63,-75,-47,26
1013465473659,-25,1,-6,-8,-10,-8,-82,-27
1013465473659,52,-27,4,5,25,17,-55,-35
1013465494699,-36,-66,-11,-10,-19,-40,-35,15
1013465494699,44,-28,-5,15,77,87,57,38
1013465496232,10,3,-5,-18,-74,-128,28,-11
1013465496232,62,61,7,7,7,99,54,68
1013465508903,-114,7,0,-9,-36,-80,-84,64
1013465508903,37,-60,-4,5,20,37,-19,-14
1013465515894,-21,23,4,-2,8,-24,33,-10
1013465515894,47,41,-9,1,-21,-99,-18,36
1013465532156,-3,-5,-7,-11,20,87,70,-40
1013465532156,-12,-15,-6,9,-21,-106,-5,88
1013465533670,3,-71,9,14,13,62,-25,-6
1013465533670,-34,33,0,-15,-36,-37,31,40
1013465554692,-55,20,3,7,46,-34,-25,-86
1013465554692,-35,-19,-6,-14,-35,31,-14,44
1013465556159,-38,-53,-14,-8,-26,-74,-6,-34
1013465556159,28,-1,-2,-2,-1,-47,34,-24
1013465568950,59,18,16,18,4,43,32,28
1013465568950,-64,47,-5,-9,29,21,113,-87
1013465583400,-4,-66,-4,-6,-24,1,8,-59
1013465583400,62,31,4,10,35,29,-71,-63
1013465592209,-81,-19,-4,0,-16,16,17,-47
1013465592209,15,12,-3,6,33,-18,71,-35
1013465593666,74,86,18,2,-45,33,-47,40
1013465593666,-32,15,-1,12,29,46,-56,-15
1013465614702,54,-41,-4,-7,-14,-4,-47,5
1013465614702,30,-3,4,3,32,41,37,25
1013465616293,-51,49,0,1,7,-18,-119,-22
1013465616293,4,-18,10,7,-3,7,50,87
1013465628912,-34,-4,-4,-2,10,9,-81,-7
1013465628912,-9,80,8,-3,-27,-3,77,50
1013465635792,23,-70,-10,14,71,32,23,-28
1013465635792,-2,-22,-3,-14,-50,-55,45,-25
1013465652012,6,43,10,18,36,33,-7,31
1013465652012,104,-1,13,-9,-63,-40,-105,61
1013465653606,-60,13,-19,-9,27,86,69,-22
1013465653606,5,-8,-8,-2,-4,16,78,20
1013465674633,-40,13,18,4,-31,-33,84,23
1013465674633,29,-45,-13,-6,7,-12,-56,-42
1013465676205,39,6,1,-1,12,-13,-71,-42
1013465676205,36,-41,-7,4,19,0,-33,-7
1013465688935,-43,22,7,0,-9,12,114,-9
1013465688935,-32,-3,4,-6,-46,-27,-13,47
1013465695653,-27,-6,-3,0,-1,-6,-16,-38
1013465695653,34,-15,-7,8,46,68,72,52
1013465712066,62,9,2,-6,-30,-92,12,-23
1013465712066,-33,-5,-3,0,10,2,38,-14
1013465713697,37,-11,7,9,39,56,-41,78
1013465713697,-54,19,9,-10,-53,-59,-86,-49
1013465734677,55,-12,-9,-1,23,39,38,-10
1013465734677,-12,-28,2,2,-12,28,80,-13
1013465736183,4,46,3,1,-9,-28,-19,21
1013465736183,-66,-41,0,7,29,-35,62,14
1013465748198,1,4,-5,-1,-5,47,-20,15
